温度,湿度,辐照,间隔,前向,损失
0.87723,0.624594,0.044736,0.0,0.026214,0.022169
0.87723,0.624594,0.044736,0.166667,0.026214,0.036666
0.87723,0.624594,0.044736,0.166667,0.043358,0.037874
0.87723,0.624594,0.044736,0.166667,0.044787,0.030021
0.87723,0.624594,0.044736,0.5,0.035501,0.203086
0.87723,0.624594,0.044736,0.5,0.240151,0.35365
0.87723,0.624594,0.044736,0.5,0.418193,0.396387
0.87723,0.624594,0.044736,0.5,0.468731,0.497568
0.87723,0.624594,0.044736,0.5,0.588378,0.631218
0.87723,0.624594,0.044736,0.5,0.746419,0.529433
