温度,湿度,辐照,间隔,前向,损失
0.87723,0.624594,0.0,0.0,0.026393,0.02232
0.87723,0.624594,0.0,0.166667,0.026393,0.020507
0.87723,0.624594,0.0,0.166667,0.02425,0.030172
0.87723,0.624594,0.0,0.166667,0.035679,0.021413
0.87723,0.624594,0.0,0.5,0.025322,0.062188
0.87723,0.624594,0.0,0.5,0.073538,0.279048
0.87723,0.624594,0.0,0.5,0.329976,0.369959
0.87723,0.624594,0.0,0.5,0.437479,0.452565
0.87723,0.624594,0.0,1.0,0.535162,0.508441
0.87723,0.624594,0.0,0.5,0.601235,0.523845
0.87723,0.624594,0.0,0.5,0.61945,0.662478
0.87723,0.624594,0.0,0.5,0.783385,0.586668
